"","evol_dist_scaled","funct_dist_scaled","scarcity_logbio_scaled","restrictedness_scaled"
"Borostomias_antarcticus",0.388965643333419,0.159534603733141,0.698643403337736,0.992696287279367
"Bothus_podas",0.187634754805124,0.195843325955928,0.394144122547156,0.963481436396835
"Brama_brama",0.222425391049486,0.328486420386448,0.427831513589096,0.980523432744979
"Brosme_brosme",0.247486328623718,0.0603407239814846,0.428464678257028,0.975045648204504
"Buenia_jeffreysii",0.225571830134367,0.323427378765201,0.72398159269125,0.973828362751065
"Buglossidium_luteum",0.191551284667402,0.161643203020266,0.290468341048701,0.670724284844796
"Callanthias_ruber",0.177534816112472,0.033965098885772,0.499034570877773,0.963481436396835
"Callionymus_fasciatus",0.135544282715143,0.00890963286957795,0.817789263579241,1
"Callionymus_lyra",0.196297246050226,0.00599256857831027,0.234344957096385,0.363359707851491
"Callionymus_maculatus",0.0967183167088898,0.00569574744830708,0.380203256602556,0.412051125989044
"Callionymus_reticulatus",0.0967183167088898,0.0153738217130067,0.562503881342277,0.873402312842361
"Callionymus_risso",0.364701804756748,0.0447427276883108,0.635791894355881,0.944613511868533
"Capros_aper",0.40115757093105,0.249112514049081,0.13168105218257,0.456482045039562
"Caranx_rhonchus",0.170295981843308,0.23335464056196,0.53910060717454,0.98965307364577
"Carapus_acus",0.336684300701253,0.175774315461328,0.573188991277451,0.909920876445526
"Cataetyx_alleni",0.193942221773026,0.397822583761384,0.692221813655892,0.991479001825928
"Cataetyx_laticeps",0.193942221773026,0.39592503201197,0.434275673488581,0.996956786366403
"Centracanthus_cirrus",0.358024292501005,0.127347596845179,0.305689131364489,0.923311016433354
"Centrolabrus_exoletus",0.0906996593830812,0.456745922000049,0.710567169256616,0.996956786366403
"Centrolophus_niger",0.144514698369293,0.122074921964405,0.38228359132738,0.924528301886792
"Centrophorus_granulosus",0.621111227606977,0.752639606169124,0.350487809440784,0.951917224589166
"Centrophorus_squamosus",0.621111227606977,0.727253945341149,0.362870577358414,0.994522215459525
"Centroscyllium_fabricii",0.730365399421378,0.394934664163981,0.556308410622464,1
"Centroscymnus_coelolepis",0.536045476262185,0.584469914162064,0.38832494026272,0.993304930006086
"Cepola_macrophthalma",0.603679847312326,0.175893158893414,0.300868406497276,0.736457699330493
"Ceratoscopelus_maderensis",0.303189229674365,0.303535796997892,0.558129773875068,0.910529519172246
"Chauliodus_sloani",0.460035070930296,0.192617125432971,0.544317549888245,0.897748021911138
"Chaunax_pictus",0.418072442078025,0.364791719138938,0.617849326840255,0.997565429093122
"Chelidonichthys_cuculus",0.037853113310684,0.147274030149959,0.216763290868386,0.372489348752282
"Chelidonichthys_lastoviza",0.0408065278031578,0.121897414100442,0.388873083118614,0.914790018259282
"Chelidonichthys_lucerna",0.0560695907990345,0.143871190799359,0.27052017594555,0.461959829580037
"Chelidonichthys_obscurus",0.0408065278031578,0.108258401210968,0.407889128522638,0.888618381010347
"Chelon_auratus",0.234034062394286,0.176707862686028,0.373843155249501,0.972002434570907
"Chelon_labrosus",0.219332789043964,0.0841797630590575,0.444932932534989,0.984783931832015
"Chelon_ramada",0.219332789043964,0.236095377509723,0.398429442720424,0.976871576384662
"Chiasmodon_niger",0.439854886706084,0.23063101750683,0.763978369780827,0.999391357273281
"Chirolophis_ascanii",0.117712598089684,0.366591344429612,0.737757307909932,0.992696287279367
"Chlopsis_bicolor",0.649361949581288,0.171482018446437,0.697171704845519,0.987827145465612
"Chlorophthalmus_agassizi",0.482620195396364,0.154763910394629,0.283853163558831,0.82288496652465
"Chromis_chromis",0.41482136530854,0.450517301498192,0.580453207122616,0.995130858186245
"Ciliata_mustela",0.110430434139324,0.0791271131857362,0.521720437833584,0.907486305538649
"Ciliata_septentrionalis",0.110430434139324,0.161941675878472,0.661556663269405,0.962264150943396
