OID_First,OID,spNum,rare2d_PD_FD,rare3d_restrict,rare3d_scarce,rare2d_FD_TD_restrict,rare2d_FD_TD_scarce,rare4d_restrict_scarce,rare2d_PD_TD_restrict,rare2d_PD_TD_scarce,ID_f,NomActive,EffActive,NV,P,GT,NomActiveHours,EffActiveHours,xcoord,ycoord
6374,6374,57,7,0,0,0,0,0,0,0,5947,9859.26389,13226.42778,0.265200345,49.0224552,7.64536695,96935.3283,130040.9545,13.25,36.75
6376,6376,63,6,0,0,0,0,0,0,1,6078,39278.38745,52692.83889,1.056533723,195.3009076,30.45842747,359777.0263,482649.0354,13.75,36.75
6378,6378,79,7,0,0,0,0,0,0,0,6197,9813.929,13165.61,0.2639809,48.79704,7.610212,82646.01,110871.5,14.25,36.75
6379,6379,88,7,0,0,0,0,0,0,0,6308,58.32619,123.7089,0.001482439,0.290799,0.04694292,454.9849,971.9673,14.75,36.75
6380,6380,84,7,0,0,0,0,0,0,0,6308,58.32619,123.7089,0.001482439,0.290799,0.04694292,454.9849,971.9673,14.75,36.75
6381,6381,17,1,0,0,0,0,0,0,0,6449,233.3048,494.8355,0.005929756,1.163196,0.1877717,1819.939,3887.869,15.25,36.75
6382,6382,8,0,0,0,0,0,0,0,0,6449,233.3048,494.8355,0.005929756,1.163196,0.1877717,1819.939,3887.869,15.25,36.75
6420,6420,34,2,0,0,0,0,0,0,0,22970,12205.58,301577.5,0.2250233,61.4926,6.891263,100939.5,2494167,24.75,36.75
6421,6421,49,5,0,0,0,0,0,0,0,8841,0.5026128,1.83569,1.10E-05,0.002515993,0.000628489,3.716733,13.85701,25.25,36.75
6423,6423,10,2,0,0,0,0,0,0,0,8910,3.461571,7.081581,8.83E-05,0.01723863,0.0026953,26.46528,54.5375,25.75,36.75
6424,6424,3,0,0,0,0,0,0,0,0,8910,3.461571,7.081581,8.83E-05,0.01723863,0.0026953,26.46528,54.5375,25.75,36.75
6426,6426,31,2,0,0,0,0,0,0,0,8969,514.75268,1053.06633,0.013132274,2.56346953,0.4008044,3954.2407,8148.1708,26.25,36.75
6431,6431,41,9,1,1,1,1,0,1,1,9190,17.07202,37.82661,0.000661063,0.08503298,0.01361319,141.1078,312.6537,27.75,36.75
6524,6524,13,0,0,0,0,0,0,0,0,768,5.440023,22.39523,0.000176758,0.02707285,0.003784324,51.11055,210.4095,-9.25,36.75
6525,6525,88,6,0,0,1,1,0,0,0,990,10.88005,44.79046,0.000353516,0.05414569,0.007568649,98.53955,405.663,-8.75,36.75
6526,6526,68,4,0,0,0,0,0,0,0,990,10.88005,44.79046,0.000353516,0.05414569,0.007568649,98.53955,405.663,-8.75,36.75
6527,6527,75,5,0,1,0,1,0,0,1,1205,5.440023,22.39523,0.000176758,0.02707285,0.003784324,49.88606,205.3686,-8.25,36.75
6528,6528,73,4,0,1,0,1,0,0,1,1205,5.440023,22.39523,0.000176758,0.02707285,0.003784324,49.88606,205.3686,-8.25,36.75
6529,6529,62,5,0,1,0,1,0,0,1,1317,307.0495,569.8351,0.00767102,1.529974,0.2358683,2627.217,4901.885,-7.75,36.75
6530,6530,61,5,0,1,0,1,0,0,1,1317,307.0495,569.8351,0.00767102,1.529974,0.2358683,2627.217,4901.885,-7.75,36.75
6531,6531,54,4,0,1,0,1,0,0,1,1432,298.3492,610.3541,0.007611425,1.48578,0.2323051,2749.86,5655.122,-7.25,36.75
6532,6532,29,1,0,0,0,0,0,0,0,1432,298.3492,610.3541,0.007611425,1.48578,0.2323051,2749.86,5655.122,-7.25,36.75
6533,6533,24,1,0,0,0,0,0,0,0,1557,1193.397,2441.416,0.0304457,5.943118,0.9292202,10163.58,20920.14,-6.75,36.75
6534,6534,14,1,0,0,0,0,0,0,0,1557,1193.397,2441.416,0.0304457,5.943118,0.9292202,10163.58,20920.14,-6.75,36.75
6551,6551,84,3,0,0,0,0,0,0,0,2628,71.053,134.8511,0.001783196,0.3541997,0.05419508,553.542,1062.177,-2.25,36.75
6553,6553,89,6,0,0,0,0,0,0,2,2791,284.212,539.4043,0.007132783,1.416799,0.2167803,2344.489,4494.268,-1.75,36.75
6554,6554,19,3,0,1,0,1,0,0,1,2791,284.212,539.4043,0.007132783,1.416799,0.2167803,2344.489,4494.268,-1.75,36.75
6609,6609,75,8,0,0,0,0,0,0,2,5605,36.68563,75.05041,0.000935917,0.18269457,0.02856471,298.2627,614.2363,12.25,36.75
6610,6610,107,12,0,0,0,0,0,0,0,5605,36.68563,75.05041,0.000935917,0.18269457,0.02856471,298.2627,614.2363,12.25,36.75
6614,6614,78,6,0,0,0,0,0,0,0,5947,9859.26389,13226.42778,0.265200345,49.0224552,7.64536695,96935.3283,130040.9545,13.25,36.75
6615,6615,41,4,0,0,0,0,0,0,0,6078,39278.38745,52692.83889,1.056533723,195.3009076,30.45842747,359777.0263,482649.0354,13.75,36.75
6616,6616,73,4,0,0,0,0,0,0,1,6078,39278.38745,52692.83889,1.056533723,195.3009076,30.45842747,359777.0263,482649.0354,13.75,36.75
6618,6618,66,3,0,0,0,0,0,0,0,6197,9813.929,13165.61,0.2639809,48.79704,7.610212,82646.01,110871.5,14.25,36.75
6621,6621,42,1,0,0,0,0,0,0,0,6449,233.3048,494.8355,0.005929756,1.163196,0.1877717,1819.939,3887.869,15.25,36.75
6622,6622,109,7,0,1,0,1,0,0,3,6449,233.3048,494.8355,0.005929756,1.163196,0.1877717,1819.939,3887.869,15.25,36.75
6648,6648,39,1,0,0,0,0,0,0,0,8490,6.022468,12.80938,0.000153298,0.02999612,0.004660827,47.02945,101.2411,21.75,36.75
6649,6649,24,1,0,0,0,0,0,0,0,8551,0.2396271,0.6217568,6.84E-06,0.001198399,0.000174716,1.880342,4.878896,22.25,36.75
6655,6655,25,3,0,0,0,0,0,0,0,8695,20.8887,125.2461,0.000521896,0.1042666,0.01517884,169.7946,1019.217,23.75,36.75
6656,6656,11,1,0,0,0,0,0,0,0,8695,20.8887,125.2461,0.000521896,0.1042666,0.01517884,169.7946,1019.217,23.75,36.75
6659,6659,29,3,0,0,0,0,0,0,0,22970,12205.58,301577.5,0.2250233,61.4926,6.891263,100939.5,2494167,24.75,36.75
6660,6660,44,5,0,0,0,0,0,0,0,22970,12205.58,301577.5,0.2250233,61.4926,6.891263,100939.5,2494167,24.75,36.75
6661,6661,20,1,0,0,0,0,0,0,0,8841,0.5026128,1.83569,1.10E-05,0.002515993,0.000628489,3.716733,13.85701,25.25,36.75
6662,6662,34,3,0,0,0,0,0,0,0,8841,0.5026128,1.83569,1.10E-05,0.002515993,0.000628489,3.716733,13.85701,25.25,36.75
6664,6664,9,2,0,0,0,0,0,0,0,8910,3.461571,7.081581,8.83E-05,0.01723863,0.0026953,26.46528,54.5375,25.75,36.75
6764,6764,38,1,0,0,0,0,0,0,0,776,10.88005,44.79046,0.000353516,0.05414569,0.007568649,96.8929,398.8842,-9.25,37.25
6767,6767,20,0,0,0,0,0,0,0,0,1218,10.88005,44.79046,0.000353516,0.05414569,0.007568649,89.96898,370.3801,-8.25,37.25
6768,6768,17,0,0,0,0,0,0,0,0,1218,10.88005,44.79046,0.000353516,0.05414569,0.007568649,89.96898,370.3801,-8.25,37.25
6770,6770,34,2,0,0,0,0,0,0,0,1326,76.76238,142.4588,0.001917755,0.3824936,0.05896707,609.2188,1137.564,-7.75,37.25
6772,6772,21,1,0,0,0,0,0,0,0,1442,149.1746,305.177,0.003805712,0.7428898,0.1161525,1162.356,2394.812,-7.25,37.25
6849,6849,88,10,0,0,1,1,0,0,0,5615,286.8713,1180.978,0.009321051,1.427645,0.1995606,2619.843,10785.25,12.25,37.25
6850,6850,69,5,0,0,0,0,0,0,0,5615,286.8713,1180.978,0.009321051,1.427645,0.1995606,2619.843,10785.25,12.25,37.25
6851,6851,92,8,0,1,0,1,0,0,2,5777,143.4357,590.4892,0.004660526,0.7138227,0.0997803,1304.505,5370.324,12.75,37.25
6852,6852,97,8,0,0,0,0,0,0,0,5777,143.4357,590.4892,0.004660526,0.7138227,0.0997803,1304.505,5370.324,12.75,37.25
6853,6853,44,2,0,0,0,0,0,0,0,5955,4906.964,6582.803,0.1319905,24.39852,3.805106,40377.42,54167.22,13.25,37.25
6854,6854,123,8,0,0,0,1,0,0,1,5955,4906.964,6582.803,0.1319905,24.39852,3.805106,40377.42,54167.22,13.25,37.25
6855,6855,86,2,0,0,0,0,0,0,0,6085,9813.929,13165.61,0.2639809,48.79704,7.610212,77052.3,103367.4,13.75,37.25
6886,6886,11,0,0,0,0,0,0,0,0,8411,18.61374,38.07945,0.00047487,0.09269647,0.01449331,149.9171,308.7673,21.25,37.25
6887,6887,22,3,0,0,0,0,0,0,0,8499,12.04494,25.61876,0.000306596,0.05999225,0.009321654,92.72321,199.6595,21.75,37.25
6894,6894,91,8,0,0,0,0,0,0,0,8649,13255.7,27118.13,0.3381769,66.01343,10.32135,101345.9,208845.3,23.25,37.25
6896,6896,8,0,0,0,0,0,0,0,0,8696,1004.774,1864.701,0.02510228,5.006615,0.7718441,7974.315,14890.04,23.75,37.25
6898,6898,56,3,0,0,0,0,0,0,0,8740,502.3871,932.3506,0.01255114,2.503307,0.385922,3968.16,7409.903,24.25,37.25
6900,6900,46,5,0,0,0,0,0,0,0,29353,8.848029,586.165,0.000290568,0.04349124,0.005333665,73.7506,4885.837,24.75,37.25
6905,6905,26,1,0,0,0,0,0,0,0,8972,253.914771,519.451581,0.006477824,1.26449663,0.1977069,2016.30793,4153.38529,26.25,37.25
7004,7004,69,7,0,0,0,0,0,0,0,776,10.88005,44.79046,0.000353516,0.05414569,0.007568649,96.8929,398.8842,-9.25,37.25
7005,7005,64,4,0,0,0,0,0,0,0,1001,43.52018,179.1618,0.001414062,0.2165828,0.03027459,348.8395,1436.086,-8.75,37.25
7087,7087,21,2,0,0,0,0,0,0,0,5455,143.4357,590.4892,0.004660526,0.7138227,0.0997803,1336.898,5503.68,11.75,37.25
7088,7088,68,6,0,0,0,0,0,0,0,5455,143.4357,590.4892,0.004660526,0.7138227,0.0997803,1336.898,5503.68,11.75,37.25
7089,7089,87,8,0,0,1,1,0,0,0,5615,286.8713,1180.978,0.009321051,1.427645,0.1995606,2619.843,10785.25,12.25,37.25
7090,7090,86,6,0,0,0,0,0,0,0,5615,286.8713,1180.978,0.009321051,1.427645,0.1995606,2619.843,10785.25,12.25,37.25
7091,7091,72,6,0,0,0,0,0,0,0,5777,143.4357,590.4892,0.004660526,0.7138227,0.0997803,1304.505,5370.324,12.75,37.25
